Année;ConsommationMW;ThermiqueMW;NucléaireMW;EolienMW;SolaireMW;HydrauliqueMW;BioénergiesMW;TCOThermique%;TCHThermique%;TCONucléaire%;TCHNucléaire%;TCOEolien%;TCHEolien%;TCOSolaire%;TCHSolaire%
2021;86468643;1819148;73327698;5292814;7557275;7804167;2869660;6;25;9;15;9;24;4;47
2022;38531299;1064597;21034612;2362763;3552078;3701920;1218465;4;20;36;27;8;24;9;32
